"","host_species","preds"
"649","Chaerephon_nigeriae",NA
"650","Chaerephon_plicatus",NA
"651","Chaerephon_leucogaster",NA
"652","Chaerephon_pumilus",NA
"653","Chaerephon_russatus",NA
"654","Mops_brachypterus",NA
"655","Mops_nanulus",NA
"656","Mops_petersoni",NA
"657","Mops_spurrelli",NA
"658","Mops_thersites",NA
"659","Mops_congicus",NA
"660","Mops_condylurus",NA
"661","Mops_leucostigma",NA
"662","Mops_midas",NA
"663","Mops_mops",NA
"664","Mops_niangarae",NA
"665","Mops_sarasinorum",NA
"666","Mops_trevori",NA
"667","Mops_demonstrator",NA
"668","Mops_niveiventer",NA
"669","Miniopterus_majori",NA
"670","Miniopterus_natalensis",NA
"671","Miniopterus_schreibersii",NA
"672","Miniopterus_robustior",NA
"673","Miniopterus_tristis",NA
"674","Miniopterus_inflatus",NA
"675","Miniopterus_africanus",NA
"676","Miniopterus_magnater",NA
"677","Miniopterus_fraterculus",NA
"678","Miniopterus_fuscus",NA
"679","Miniopterus_medius",NA
"680","Miniopterus_australis",NA
"681","Miniopterus_paululus",NA
"682","Miniopterus_shortridgei",NA
"683","Miniopterus_minor",NA
"684","Miniopterus_manavi",NA
"685","Miniopterus_pusillus",NA
"686","Miniopterus_macrocneme",NA
"687","Eudiscopus_denticulus",NA
"688","Hesperoptenus_doriae",NA
"689","Ia_io",NA
"690","Lasionycteris_noctivagans",NA
"691","Mimetillus_moloneyi",NA
"692","Nycticeius_humeralis",NA
"693","Nycticeius_cubanus",NA
"694","Scoteanax_rueppellii",NA
"695","Otonycteris_hemprichii",NA
"696","Philetor_brachypterus",NA
"697","Scotozous_dormeri",NA
"698","Pipistrellus_subflavus",NA
"699","Bauerus_dubiaquercus",NA
"700","Antrozous_pallidus",NA
"701","Glischropus_javanus",NA
"702","Glischropus_tylopus",NA
"703","Hypsugo_anchietae",NA
"704","Hypsugo_eisentrauti",NA
"705","Pipistrellus_hesperus",NA
"706","Hypsugo_musciculus",NA
"707","Tylonycteris_pachypus",NA
"708","Tylonycteris_robustula",NA
"709","Vespertilio_murinus",NA
"710","Vespertilio_sinensis",NA
"711","Hypsugo_anthonyi",NA
"712","Hypsugo_joffrei",NA
"713","Pipistrellus_stenopterus",NA
"714","Hypsugo_crassulus",NA
"715","Pipistrellus_nanulus",NA
"716","Pipistrellus_rueppellii",NA
"717","Arielulus_circumdatus",NA
"718","Arielulus_cuprosus",NA
"719","Arielulus_societatis",NA
"720","Scotoecus_pallidus",NA
"721","Scotoecus_albofuscus",NA
"722","Scotoecus_hirundo",NA
"723","Scotoecus_albigula",NA
"724","Scotoecus_hindei",NA
"725","Hypsugo_imbricatus",NA
"726","Hypsugo_arabicus",NA
"727","Neoromicia_helios",NA
"728","Neoromicia_nanus",NA
"729","Hypsugo_pulveratus",NA
"730","Hypsugo_kitcheneri",NA
"731","Hypsugo_lophurus",NA
"732","Hesperoptenus_blanfordi",NA
"733","Hesperoptenus_gaskelli",NA
"734","Hesperoptenus_tickelli",NA
"735","Hesperoptenus_tomesi",NA
"736","Histiotus_alienus",NA
"737","Histiotus_macrotus",NA
"738","Histiotus_laephotis",NA
"739","Histiotus_montanus",NA
"740","Histiotus_magellanicus",NA
"741","Histiotus_velatus",NA
"742","Laephotis_angolensis",NA
"743","Laephotis_botswanae",NA
"744","Laephotis_namibensis",NA
"745","Laephotis_wintoni",NA
"746","Falsistrellus_mackenziei",NA
"747","Falsistrellus_tasmaniensis",NA
"748","Falsistrellus_affinis",NA
"749","Falsistrellus_mordax",NA
"750","Falsistrellus_petersi",NA
"751","Nycticeinops_schlieffeni",NA
